season_id,title,score,eps,area,status,styles
39308,开心锤锤,6.0,1393,中国,更新至第1393话,
28747,凡人修仙传,9.7,176,中国,更新至第176话,
34149,我是不白吃,9.3,1034,中国,更新至第1034话,
42073,小魔国漫大百科,9.4,609,中国,更新至第609话,
40551,奶龙,0.0,150,中国,全150话,
39340,小品一家人,0.0,500,中国,全500话,
45969,牧神记,9.6,85,中国,更新至第85话,
38436,元气食堂,9.5,354,中国,更新至第354话,
41890,面膜妈妈养娃,0.0,0,中国,,
38147,黄逗菌,9.1,50,中国,全50话,
24298,非人哉,9.8,96,中国,全96话,
2543,狐妖小红娘,9.5,100,中国,全100话,
26015,王者？别闹！,9.2,86,中国,更新至第86话,
1733,罗小黑战记,9.9,43,中国,全43话,
45327,虫小绿历史为什么,0.0,506,中国,更新至第506话,
26257,三体,8.2,15,中国,全15话,
35213,永生,8.6,82,中国,全82话,
39395,大神探诸葛九九,0.0,500,中国,全500话,
22088,灵笼 第一季,9.6,16,中国,全16话,
44872,宝宝巴士儿歌3D版,8.1,200,中国,全200话,
40731,MR.BONE,9.6,0,中国,,
44176,伍六七之暗影宿命,9.2,10,中国,全10话,
28763,天官赐福,8.9,12,中国,全12话,
26194,仙王的日常生活,4.7,15,中国,全15话,
3863,镇魂街 第一季,9.1,24,中国,全24话,
39111,一口小鸭梨,7.6,100,中国,全100话,
36594,伍六七之玄武国篇,9.8,10,中国,全10话,
39947,有兽焉,9.8,60,中国,全60话,
41889,快把舅舅带走,0.0,0,中国,,
6402,一人之下 第二季,9.5,24,中国,全24话,
38755,铁头与橘子,0.0,199,中国,全199话,
35220,时光代理人,9.8,12,中国,全12话,
33323,雾山五行,9.9,7,中国,全7话,
26311,凹凸世界 第三季,9.4,40,中国,全40话,
26266,元龙,8.9,16,中国,全16话,
39696,仙王的日常生活 第三季,7.8,12,中国,全12话,
48518,宗门里除了我都是卧底,0.0,152,中国,全152话,
5626,镇魂街 第二季,7.4,10,中国,全10话,
6360,伍六七,9.8,13,中国,全13话,
28510,伍六七之最强发型师,9.8,10,中国,全10话,
38368,小狮子赛几,9.5,104,中国,全104话,
35201,仙王的日常生活 第二季,6.8,12,中国,全12话,
39386,飞狗MOCO,7.5,100,中国,全100话,
46585,灵笼 第二季,9.8,12,中国,全12话,
48315,伍六七之记忆碎片,7.7,10,中国,全10话,
39707,中国奇谭,9.9,8,中国,全8话,
39394,无限吃鸡小队 第二季,2.7,500,中国,全500话,
28761,少年歌行 风花雪月篇,8.5,33,中国,全33话,
28757,两不疑,9.6,24,中国,全24话,
43554,凸变英雄X,9.5,24,中国,全24话,
43547,镇魂街 第三季,9.7,16,中国,全16话,
33725,獭獭突然想到,9.7,24,中国,全24话,
35202,元龙 第二季,6.6,16,中国,全16话,
40720,猪屁登,0.0,500,中国,全500话,
105244,王蓝莓搞笑一家人,9.2,79,中国,全79话,
1689,那年那兔那些事儿 第一季,9.7,12,中国,全12话,
5050,一人之下,9.3,12,中国,全12话,
21911,我家大师兄脑子有坑,9.4,26,中国,全26话,
105231,王蓝莓的搞笑日常,9.5,69,中国,全69话,
41553,无限王者小队,2.5,0,中国,,
28758,猫之茗,9.8,40,中国,全40话,
39666,时光代理人 第二季,9.1,12,中国,全12话,
32321,大理寺日志,9.8,12,中国,全12话,
48578,镇魂街 第四季,9.8,26,中国,全26话,
24608,少年歌行,9.5,26,中国,全26话,
42009,这里是峡谷公寓,0.0,56,中国,全56话,
26193,百妖谱,9.4,12,中国,全12话,
41187,小小朱历史课,8.8,302,中国,更新至第302话,
41393,凹凸世界 第四季,8.6,20,中国,全20话,
105121,王蓝莓的童年时光,9.3,35,中国,全35话,
37558,逗酱萌鸭的睡前小故事,8.1,182,中国,全182话,
25469,如果历史是一群喵 1-3季,9.7,38,中国,全38话,
2967,那年那兔那些事儿 第二季,9.6,12,中国,全12话,
3043,凹凸世界 第一季,8.8,32,中国,全32话,
39722,两不疑 第二季,9.8,24,中国,全24话,
39659,第一序列,9.6,16,中国,全16话,
39706,元龙 第三季,6.8,16,中国,全16话,
5559,那年那兔那些事儿 第三季,9.6,12,中国,全12话,
6159,妖神记,7.8,120,中国,全120话,
39457,不白吃话山海经,9.3,41,中国,全41话,
26196,我家大师兄是个反派,9.0,13,中国,全13话,
32544,喜羊羊与灰太狼之羊村守护者,9.8,60,中国,全60话,
41445,小狮子赛几 第2季,9.6,104,中国,全104话,
2647,口水三国,8.5,124,中国,全124话,
27796,阿衰,7.1,34,中国,全34话,
5885,京剧猫,9.8,60,中国,全60话,
48416,哪吒之魔童闹海,9.8,0,中国,2025年1月29日上映,
41527,叽歪老表,4.6,0,中国,,
39688,君有云,9.1,24,中国,全24话,
25346,京剧猫 第三季,9.9,52,中国,全52话,
43340,仙王的日常生活 第四季,8.5,12,中国,全12话,
26232,天宝伏妖录,9.6,13,中国,全13话,
45734,少年歌行 海外仙山篇,8.1,26,中国,全26话,
25813,萌妻食神,9.3,36,中国,全36话,
45197,哈小浪之超时空星战,0.0,30,中国,全30话,
39661,百妖谱·京师篇,9.8,12,中国,全12话,
25567,通灵妃,8.8,16,中国,全16话,
47144,熊出没,9.7,52,中国,全52话,
5839,一禅小和尚,8.7,100,中国,全100话,
28751,火凤燎原,9.6,16,中国,全16话,
33962,阿衰 第三季,8.6,34,中国,全34话,
48143,时光代理人 英都篇,9.3,6,中国,全6话,
28770,我的三体之章北海传,9.9,9,中国,全9话,
24438,小绿和小蓝,9.7,72,中国,全72话,
