season_id,title,score,eps,area,status,season_type
33415,名侦探柯南（中配）,8.8,1262,海外,更新至第1262话,番剧
33378,名侦探柯南,9.4,1262,海外,更新至第1262话,番剧
26801,鬼灭之刃,9.7,26,海外,全26话,番剧
6262,蜡笔小新 第二季（中文）,9.8,873,海外,全873话,番剧
34430,咒术回战,9.7,24,海外,全24话,番剧
41410,间谍过家家,9.7,25,海外,全25话,番剧
6260,蜡笔小新 第一季（中文）,9.8,479,海外,全479话,番剧
38157,银魂,9.9,200,海外,全200话,番剧
25681,JOJO的奇妙冒险 黄金之风,9.8,39,海外,全39话,番剧
41013,海绵宝宝  第一季～第九季 中文配音,9.8,161,海外,全161话,番剧
357,猫和老鼠 旧版,9.9,55,海外,全55话,番剧
28324,犬夜叉,9.8,167,海外,全167话,番剧
25739,关于我转生变成史莱姆这档事,9.4,28,海外,全28话,番剧
39462,国王排名,7.0,23,海外,全23话,番剧
2576,OVERLORD,9.6,13,海外,全13话,番剧
36170,关于我转生变成史莱姆这档事 第二季,8.9,26,海外,全26话,番剧
6422,黑色四叶草,9.5,171,海外,全171话,番剧
24596,OVERLORD Ⅲ,9.4,13,海外,全13话,番剧
5398,JOJO的奇妙冒险 不灭钻石,9.8,39,海外,全39话,番剧
21466,OVERLORD Ⅱ,9.6,13,海外,全13话,番剧
39433,鬼灭之刃 游郭篇,9.7,11,海外,全11话,番剧
46089,葬送的芙莉莲,9.9,28,海外,全28话,番剧
36167,转生成蜘蛛又怎样！,7.9,24,海外,全24话,番剧
44860,鬼灭之刃 刀匠村篇,9.2,13,海外,全13话,番剧
5070,齐木楠雄的灾难（日播&精选版）,9.6,120,海外,全120话,番剧
39431,JOJO的奇妙冒险 石之海,9.8,38,海外,全38话,番剧
5800,小林家的龙女仆,9.7,14,海外,全14话,番剧
4334,JOJO的奇妙冒险,9.8,26,海外,全26话,番剧
45574,咒术回战 第二季,9.4,23,海外,全23话,番剧
4185,JOJO的奇妙冒险 星尘远征军,9.8,24,海外,全24话,番剧
36198,堀与宫村,9.8,13,海外,全13话,番剧
6295,蜡笔小新 第六季（中文）,9.8,156,海外,全156话,番剧
26284,盾之勇者成名录,7.4,25,海外,全25话,番剧
26274,辉夜大小姐想让我告白～天才们的恋爱头脑战～,9.8,12,海外,全12话,番剧
4213,JOJO的奇妙冒险 星尘远征军 埃及篇,9.8,24,海外,全24话,番剧
39444,鬼灭之刃 无限列车篇,9.8,7,海外,全7话,番剧
6264,蜡笔小新 第三季（中文）,9.8,156,海外,全156话,番剧
1376,家庭教师HITMAN REBORN!,9.9,203,海外,全203话,番剧
29358,因为太怕痛就全点防御力了,9.0,12,海外,全12话,番剧
6266,蜡笔小新 第四季（中文）,9.7,156,海外,全156话,番剧
47083,迷宫饭,9.8,24,海外,全24话,番剧
1635,EVA 新世纪福音战士,9.7,26,海外,全26话,番剧
24588,工作细胞,9.7,14,海外,全14话,番剧
41417,夏日重现,9.8,25,海外,全25话,番剧
37587,小猪佩奇 第一季,8.8,52,海外,全52话,番剧
29325,某科学的超电磁炮T,9.8,25,海外,全25话,番剧
25733,青春猪头少年不会梦到兔女郎学姐,9.8,13,海外,全13话,番剧
6339,欢迎来到实力至上主义的教室,8.9,12,海外,全12话,番剧
45263,成龙历险记 中文配音,8.8,95,海外,全95话,番剧
3756,百变小樱,9.9,70,海外,全70话,番剧
38385,迪迦奥特曼（中配）,9.9,52,海外,全52话,番剧
32982,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,9.8,12,海外,全12话,番剧
4452,刀剑神域,9.7,25,海外,全25话,番剧
47836,鬼灭之刃 柱训练篇,9.7,8,海外,全8话,番剧
3450,在下坂本，有何贵干？,9.4,13,海外,全13话,番剧
24581,碧蓝之海,9.9,12,海外,全12话,番剧
425,某科学的超电磁炮,9.7,24,海外,全24话,番剧
5997,埃罗芒阿老师,9.3,12,海外,全12话,番剧
1699,四月是你的谎言,9.8,22,海外,全22话,番剧
5069,齐木楠雄的灾难,9.7,24,海外,全24话,番剧
1586,Fate/stay night [Unlimited Blade Works] 第一季,9.5,13,海外,全13话,番剧
38158,银魂 第二季,9.9,64,海外,全64话,番剧
21542,紫罗兰永恒花园,9.8,14,海外,全14话,番剧
2572,Charlotte,9.5,13,海外,全13话,番剧
34230,总之就是非常可爱,9.5,13,海外,全13话,番剧
2580,干物妹！小埋,9.4,12,海外,全12话,番剧
43164,孤独摇滚！,9.9,12,海外,全12话,番剧
6268,蜡笔小新 第五季（中文）,9.8,156,海外,全156话,番剧
25510,刀剑神域 Alicization,8.3,25,海外,全25话,番剧
34004,鬼灭之刃 中配版,9.1,26,海外,全26话,番剧
27993,Ｄｒ．ＳＴＯＮＥ 石纪元,9.7,24,海外,全24话,番剧
1555,终结的炽天使,8.6,12,海外,全12话,番剧
3398,冰菓,9.8,23,海外,全23话,番剧
43013,小猪佩奇 第九季 中文配音,8.9,39,海外,全39话,番剧
21469,齐木楠雄的灾难 第二季,9.8,24,海外,全24话,番剧
1587,Fate/stay night [Unlimited Blade Works] 第二季,9.5,13,海外,全13话,番剧
28320,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,9.5,22,海外,全22话,番剧
28625,这个勇者明明超强却过分慎重,9.7,12,海外,全12话,番剧
1559,食戟之灵,9.5,24,海外,全24话,番剧
1540,我的青春恋爱物语果然有问题。续,9.8,13,海外,全13话,番剧
26146,多罗罗,9.4,24,海外,全24话,番剧
46085,间谍过家家 第二季,9.7,12,海外,全12话,番剧
47556,怪兽8号,8.7,12,海外,全12话,番剧
47211,我独自升级,8.8,12,海外,全12话,番剧
41012,海绵宝宝 第一季～第九季,9.8,161,海外,全161话,番剧
1650,Fate/Zero 第一季,9.6,13,海外,全13话,番剧
29339,星掠者,5.4,24,海外,全24话,番剧
6312,徒然喜欢你,9.7,12,海外,全12话,番剧
6311,笨女孩,9.3,12,海外,全12话,番剧
37589,小猪佩奇 第二季,8.5,52,海外,全52话,番剧
5761,宝可梦,9.8,271,海外,全271话,番剧
1512,路人女主的养成方法,9.4,13,海外,全13话,番剧
37594,小猪佩奇 第七季,8.5,52,海外,全52话,番剧
2727,排球少年！！,9.9,25,海外,全25话,番剧
779,Fate/Zero 第二季,9.7,12,海外,全12话,番剧
39481,"世界顶尖的暗杀者,转生为异世界贵族",9.2,12,海外,全12话,番剧
3054,游戏王 怪兽之决斗,9.8,224,海外,全224话,番剧
6446,干物妹！小埋R,9.5,12,海外,全12话,番剧
6301,Fate/Apocrypha,6.0,25,海外,全25话,番剧
27995,平凡职业造就世界最强,6.1,14,海外,全14话,番剧
28638,入间同学入魔了,9.5,23,海外,全23话,番剧
2760,终结的炽天使 名古屋决战篇,8.8,12,海外,全12话,番剧
5058,路人超能100(灵能百分百),9.8,12,海外,全12话,番剧
48011,不时用俄语小声说真心话的邻桌艾莉同学,7.8,12,海外,全12话,番剧
33802,Re：从零开始的异世界生活 第二季 前半,9.7,13,海外,全13话,番剧
80763,我独自升级 第二季 -起于暗影-,9.7,13,海外,全13话,番剧
4340,中二病也要谈恋爱！,9.8,13,海外,全13话,番剧
38921,小林家的龙女仆 第二季,9.6,13,海外,全13话,番剧
38214,致不灭的你,9.5,20,海外,全20话,番剧
969,会长是女仆大人！,9.7,26,海外,全26话,番剧
46086,香格里拉边境,9.3,25,海外,全25话,番剧
26283,五等分的新娘,8.9,12,海外,全12话,番剧
26297,路人超能100 II(灵能百分百 第二季),9.9,13,海外,全13话,番剧
877,全职猎人,9.8,92,海外,全92话,番剧
1539,我的青春恋爱物语果然有问题。,9.7,13,海外,全13话,番剧
38159,银魂 第三季,9.9,51,海外,全51话,番剧
37593,小猪佩奇 第六季,8.5,26,海外,全26话,番剧
41080,汪汪队立大功 第二季 中文配音,8.5,24,海外,全24话,番剧
41411,辉夜大小姐想让我告白 -究极浪漫-,9.5,13,海外,全13话,番剧
24625,Angels of Death,9.6,16,海外,全16话,番剧
34412,魔女之旅,9.7,12,海外,全12话,番剧
42105,奇幻世界舅舅,9.8,13,海外,全13话,番剧
427,某科学的超电磁炮S,9.7,24,海外,全24话,番剧
2732,野良神 ARAGOTO,9.4,13,海外,全13话,番剧
43145,蓝色监狱 / 蓝色禁区,9.2,24,海外,全24话,番剧
4400,弹丸论破,9.3,13,海外,全13话,番剧
2539,魔法少女小圆,9.8,12,海外,全12话,番剧
29310,异度侵入 ID:INVADED,9.8,13,海外,全13话,番剧
5987,不正经的魔术讲师与禁忌教典,8.9,12,海外,全12话,番剧
44151,因为太怕痛就全点防御力了 第二季,9.3,12,海外,全12话,番剧
48031,蜡笔小新 第七季（中文）,9.7,312,海外,全312话,番剧
3462,双星之阴阳师,8.7,50,海外,全50话,番剧
38221,关于我转生变成史莱姆这档事 转生史莱姆日记,9.7,12,海外,全12话,番剧
33055,转生成为了只有乙女游戏破灭Flag的邪恶大小姐,9.6,12,海外,全12话,番剧
29366,虚构推理,9.2,12,海外,全12话,番剧
